nome,eleito
CLEBER VERDE CORDEIRO MENDES,1
JOSE JUSCELINO DOS SANTOS REZENDE FILHO,1
JOSÉ REINALDO CARNEIRO TAVARES,1
JOÃO CASTELO RIBEIRO GONÇALVES,1
ALUISIO GUIMARÃES MENDES FILHO,1
JOSE  CARLOS NUNES JUNIOR,1
PEDRO FERNANDES RIBEIRO,1
CARLOS VICTOR GUTERRES MENDES,1
JOSÉ SARNEY FILHO,1
CARLOS DO CARMO ANDRADE MELLES,1
MISAEL ARTUR FERREIRA VARELLA,1
MARIA DO SOCORRO JÔ MORAES,1
LUIZ GONZAGA RIBEIRO,1
MARIO LUCIO HERINGER,1
MARCELO GUILHERME DE ARO FERREIRA,1
JOSÉ SARAIVA FELIPE,1
LAUDIVIO ALVARENGA CARVALHO,1
LEONARDO LEMOS BARROS QUINTÃO,1
MAURO RIBEIRO LOPES,1
NEWTON CARDOSO JÚNIOR,1
RODRIGO OTAVIO SOARES PACHECO,1
DÂMINA DE CARVALHO PEREIRA,1
ANTÔNIO PINHEIRO JÚNIOR,1
DIMAS FABIANO TOLEDO JÚNIOR,1
LUIZ FERNANDO RAMOS FARIA,1
ODELMO LEÃO CARNEIRO SOBRINHO,1
RENZO DO AMARAL BRAZ,1
AELTON JOSÉ DE FREITAS,1
LINCOLN DINIZ PORTELA,1
OLAVO BILAC PINTO NETO,1
GEORGE HILTON DOS SANTOS CECILIO,1
MARCELO HENRIQUE TEIXEIRA DIAS,1
JULIO CESAR DELGADO,1
SÉRGIO LUCIO DE ALMEIDA,1
STEFANO AGUIAR DOS SANTOS,1
TANIA RAQUEL DE QUEIROZ MUNIZ,1
DIEGO LEONARDO DE ANDRADE CARVALHO,1
JAIME MARTINS FILHO,1
MARCOS MONTES CORDEIRO,1
BONIFÁCIO JOSÉ TAMM DE ANDRADA,1
CAIO NARCIO RODRIGUES DA SILVEIRA,1
DOMINGOS SAVIO CAMPOS RESENDE,1
EDUARDO LUIZ BARROS BARBOSA,1
MARCUS VINICIUS CAETANO PESTANA DA SILVA,1
PAULO ABI-ACKEL,1
RODRIGO BATISTA DE CASTRO,1
MARIA MARGARIDA MARTINS SALOMÃO,1
ADELMO CARNEIRO LEAO,1
GABRIEL GUIMARÃES DE ANDRADE,1
JOÃO CARLOS SIQUEIRA,1
JOSE LEONARDO COSTA MONTEIRO,1
MIGUEL CORREA DA SILVA JUNIOR,1
ODAIR JOSE DA CUNHA,1
PATRUS ANANIAS DE SOUSA,1
REGINALDO LÁZARO DE OLIVEIRA LOPES,1
WELITON FERNANDES PRADO,1
EROS FERREIRA BIONDINI,1
BRUNIELE FERREIRA DA SILVA,1
LUIS HENRIQUE DE OLIVEIRA RESENDE,1
EDSON MOREIRA DA SILVA,1
FABIO AUGUSTO RAMALHO DOS SANTOS,1
JOSÉ SILVA SOARES,1
LUIZ HENRIQUE MANDETTA,1
DAGOBERTO NOGUEIRA FILHO,1
CARLOS EDUARDO XAVIER MARUN,1
GERALDO RESENDE PEREIRA,1
TEREZA CRISTINA CORREA DA COSTA DIAS,1
MARCIO CAMPOS MONTEIRO,1
JOSÉ ORCÍRIO MIRANDA DOS SANTOS,1
